date,n,rolling_avg
2020-01-29,55,67.42857142857143
2020-01-30,59,68
2020-01-31,78,69.57142857142857
2020-02-01,86,72.57142857142857
2020-02-02,88,72.42857142857143
2020-02-03,75,72.28571428571429
2020-02-04,71,73.14285714285714
2020-02-05,59,73.71428571428571
2020-02-06,65,74.57142857142857
2020-02-07,57,71.57142857142857
2020-02-08,75,70
2020-02-09,86,69.71428571428571
2020-02-10,59,67.42857142857143
2020-02-11,57,65.42857142857143
2020-02-12,61,65.71428571428571
2020-02-13,51,63.714285714285715
2020-02-14,61,64.28571428571429
2020-02-15,109,69.14285714285714
2020-02-16,112,72.85714285714286
2020-02-17,73,74.85714285714286
2020-02-18,62,75.57142857142857
2020-02-19,54,74.57142857142857
2020-02-20,78,78.42857142857143
2020-02-21,78,80.85714285714286
2020-02-22,84,77.28571428571429
2020-02-23,94,74.71428571428571
2020-02-24,64,73.42857142857143
2020-02-25,56,72.57142857142857
2020-02-26,60,73.42857142857143
2020-02-27,51,69.57142857142857
2020-02-28,62,67.28571428571429
2020-02-29,79,66.57142857142857
2020-03-01,96,66.85714285714286
2020-03-02,68,67.42857142857143
2020-03-03,66,68.85714285714286
2020-03-04,63,69.28571428571429
2020-03-05,76,72.85714285714286
2020-03-06,80,75.42857142857143
2020-03-07,85,76.28571428571429
2020-03-08,90,75.42857142857143
2020-03-09,74,76.28571428571429
2020-03-10,67,76.42857142857143
2020-03-11,62,76.28571428571429
2020-03-12,62,74.28571428571429
2020-03-13,78,74
2020-03-14,86,74.14285714285714
2020-03-15,107,76.57142857142857
2020-03-16,74,76.57142857142857
2020-03-17,82,78.71428571428571
2020-03-18,79,81.14285714285714
2020-03-19,73,82.71428571428571
2020-03-20,79,82.85714285714286
2020-03-21,74,81.14285714285714
2020-03-22,80,77.28571428571429
2020-03-23,91,79.71428571428571
2020-03-24,88,80.57142857142857
2020-03-25,70,79.28571428571429
2020-03-26,64,78
2020-03-27,99,80.85714285714286
2020-03-28,97,84.14285714285714
2020-03-29,101,87.14285714285714
2020-03-30,79,85.42857142857143
2020-03-31,71,83
2020-04-01,78,84.14285714285714
2020-04-02,79,86.28571428571429
2020-04-03,74,82.71428571428571
2020-04-04,75,79.57142857142857
